[DEBUG] 2016-04-18 15:36:09.207 [http-nio-8080-exec-1] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-18 15:36:50.840 [http-nio-8080-exec-3] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-18 15:44:53.522 [main] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-18 15:44:54.173 [main] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-18 15:44:54.233 [main] com.example.PersonController - Requesting people with name = Marnik (age=null, name=Marnik, sort=null)
[DEBUG] 2016-04-18 15:44:54.313 [main] com.example.PersonController - Requesting people with age = 21 (age=21, name=null, sort=null)
[DEBUG] 2016-04-18 15:44:54.363 [main] com.example.PersonController - Requesting all people sorted by name (age=null, name=null, sort=name)
[DEBUG] 2016-04-18 15:44:54.413 [main] com.example.PersonController - Requesting people with name = Marnik sorted by age (age=null, name=Marnik, sort=age)
[DEBUG] 2016-04-18 15:44:54.463 [main] com.example.PersonController - Requesting people with name = Marnik sorted by name (age=null, name=Marnik, sort=name)
[DEBUG] 2016-04-19 10:37:51.003 [main] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-19 10:37:51.432 [main] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 10:37:51.472 [main] com.example.PersonController - Requesting people with name = Marnik (age=null, name=Marnik, sort=null)
[DEBUG] 2016-04-19 10:37:51.512 [main] com.example.PersonController - Requesting people with age = 21 (age=21, name=null, sort=null)
[DEBUG] 2016-04-19 10:37:51.545 [main] com.example.PersonController - Requesting all people sorted by name (age=null, name=null, sort=name)
[DEBUG] 2016-04-19 10:37:51.575 [main] com.example.PersonController - Requesting people with name = Marnik sorted by age (age=null, name=Marnik, sort=age)
[DEBUG] 2016-04-19 10:37:51.615 [main] com.example.PersonController - Requesting people with name = Marnik sorted by name (age=null, name=Marnik, sort=name)
[DEBUG] 2016-04-19 10:39:59.922 [main] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-19 10:40:00.160 [main] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 10:40:00.200 [main] com.example.PersonController - Requesting people with name = Marnik (age=null, name=Marnik, sort=null)
[DEBUG] 2016-04-19 10:40:00.240 [main] com.example.PersonController - Requesting people with age = 21 (age=21, name=null, sort=null)
[DEBUG] 2016-04-19 10:40:00.270 [main] com.example.PersonController - Requesting all people sorted by name (age=null, name=null, sort=name)
[DEBUG] 2016-04-19 10:40:00.310 [main] com.example.PersonController - Requesting people with name = Marnik sorted by age (age=null, name=Marnik, sort=age)
[DEBUG] 2016-04-19 10:40:00.340 [main] com.example.PersonController - Requesting people with name = Marnik sorted by name (age=null, name=Marnik, sort=name)
[DEBUG] 2016-04-19 14:32:26.083 [http-nio-8080-exec-4] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 15:19:20.614 [main] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-19 15:19:20.930 [main] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 15:19:20.989 [main] com.example.PersonController - Requesting people with name = Marnik (age=null, name=Marnik, sort=null)
[DEBUG] 2016-04-19 15:19:21.060 [main] com.example.PersonController - Requesting people with age = 21 (age=21, name=null, sort=null)
[DEBUG] 2016-04-19 15:19:21.081 [main] com.example.PersonController - Requesting all people sorted by name (age=null, name=null, sort=name)
[DEBUG] 2016-04-19 15:19:21.114 [main] com.example.PersonController - Requesting people with name = Marnik sorted by age (age=null, name=Marnik, sort=age)
[DEBUG] 2016-04-19 15:19:21.147 [main] com.example.PersonController - Requesting people with name = Marnik sorted by name (age=null, name=Marnik, sort=name)
[DEBUG] 2016-04-19 15:20:48.118 [http-nio-8080-exec-1] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 15:25:42.685 [main] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-19 15:25:42.928 [main] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 15:25:42.968 [main] com.example.PersonController - Requesting people with name = Marnik (age=null, name=Marnik, sort=null)
[DEBUG] 2016-04-19 15:25:43.018 [main] com.example.PersonController - Requesting people with age = 21 (age=21, name=null, sort=null)
[DEBUG] 2016-04-19 15:25:43.048 [main] com.example.PersonController - Requesting all people sorted by name (age=null, name=null, sort=name)
[DEBUG] 2016-04-19 15:25:43.075 [main] com.example.PersonController - Requesting people with name = Marnik sorted by age (age=null, name=Marnik, sort=age)
[DEBUG] 2016-04-19 15:25:43.120 [main] com.example.PersonController - Requesting people with name = Marnik sorted by name (age=null, name=Marnik, sort=name)
[DEBUG] 2016-04-19 16:25:55.526 [main] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-19 16:25:55.749 [main] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 16:25:55.796 [main] com.example.PersonController - Requesting people with name = Marnik (age=null, name=Marnik, sort=null)
[DEBUG] 2016-04-19 16:25:55.856 [main] com.example.PersonController - Requesting people with age = 21 (age=21, name=null, sort=null)
[DEBUG] 2016-04-19 16:25:55.896 [main] com.example.PersonController - Requesting all people sorted by name (age=null, name=null, sort=name)
[DEBUG] 2016-04-19 16:25:55.937 [main] com.example.PersonController - Requesting people with name = Marnik sorted by age (age=null, name=Marnik, sort=age)
[DEBUG] 2016-04-19 16:25:55.981 [main] com.example.PersonController - Requesting people with name = Marnik sorted by name (age=null, name=Marnik, sort=name)
[DEBUG] 2016-04-19 16:36:00.505 [main] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-19 16:36:00.733 [main] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 16:36:00.773 [main] com.example.PersonController - Requesting people with name = Marnik (age=null, name=Marnik, sort=null)
[DEBUG] 2016-04-19 16:36:00.825 [main] com.example.PersonController - Requesting people with age = 21 (age=21, name=null, sort=null)
[DEBUG] 2016-04-19 16:36:00.864 [main] com.example.PersonController - Requesting all people sorted by name (age=null, name=null, sort=name)
[DEBUG] 2016-04-19 16:36:00.917 [main] com.example.PersonController - Requesting people with name = Marnik sorted by age (age=null, name=Marnik, sort=age)
[DEBUG] 2016-04-19 16:36:00.947 [main] com.example.PersonController - Requesting people with name = Marnik sorted by name (age=null, name=Marnik, sort=name)
[DEBUG] 2016-04-19 16:58:00.007 [main] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-19 16:58:00.272 [main] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 16:58:00.302 [main] com.example.PersonController - Requesting people with name = Marnik (age=null, name=Marnik, sort=null)
[DEBUG] 2016-04-19 16:58:00.354 [main] com.example.PersonController - Requesting people with age = 21 (age=21, name=null, sort=null)
[DEBUG] 2016-04-19 16:58:00.399 [main] com.example.PersonController - Requesting all people sorted by name (age=null, name=null, sort=name)
[DEBUG] 2016-04-19 16:58:00.440 [main] com.example.PersonController - Requesting people with name = Marnik sorted by age (age=null, name=Marnik, sort=age)
[DEBUG] 2016-04-19 16:58:00.481 [main] com.example.PersonController - Requesting people with name = Marnik sorted by name (age=null, name=Marnik, sort=name)
[DEBUG] 2016-04-19 17:19:35.777 [main] com.example.PersonController - Requesting all people sorted by age (age=null, name=null, sort=age)
[DEBUG] 2016-04-19 17:19:36.049 [main] com.example.PersonController - Requesting all people (age=null, name=null, sort=null)
[DEBUG] 2016-04-19 17:19:36.079 [main] com.example.PersonController - Requesting people with name = Marnik (age=null, name=Marnik, sort=null)
[DEBUG] 2016-04-19 17:19:36.129 [main] com.example.PersonController - Requesting people with age = 21 (age=21, name=null, sort=null)
[DEBUG] 2016-04-19 17:19:36.166 [main] com.example.PersonController - Requesting all people sorted by name (age=null, name=null, sort=name)
[DEBUG] 2016-04-19 17:19:36.231 [main] com.example.PersonController - Requesting people with name = Marnik sorted by age (age=null, name=Marnik, sort=age)
[DEBUG] 2016-04-19 17:19:36.271 [main] com.example.PersonController - Requesting people with name = Marnik sorted by name (age=null, name=Marnik, sort=name)
